,Rx Buffer Time (sec),Rx ADC Buffer Values
181,5.624845266342163,595.0
182,5.6560962200164795,601.0
183,5.6872923374176025,611.0
184,5.718529224395752,617.0
185,5.749762058258057,627.0
186,5.781036138534546,639.0
187,5.81213903427124,643.0
188,5.843310117721558,651.0
189,5.874564170837402,665.0
190,5.905813217163086,673.0
191,5.937106132507324,689.0
192,5.96821928024292,689.0
193,5.999385118484497,699.0
194,6.030620336532593,707.0
195,6.061848163604736,689.0
196,6.093105316162109,699.0
197,6.124197244644165,707.0
198,6.155484199523926,739.0
199,6.186689138412476,691.0
200,6.217922210693359,689.0
201,6.249084234237671,721.0
202,6.2802512645721436,703.0
203,6.311517000198364,688.0
204,6.342787265777588,659.0
205,6.373926162719727,657.0
206,6.405144214630127,835.0
207,6.4364001750946045,755.0
208,6.467566251754761,723.0
209,6.498834133148193,753.0
210,6.530145168304443,731.0
211,6.56120228767395,739.0
212,6.592440128326416,745.0
213,6.623676300048828,747.0
214,6.654908180236816,608.0
215,6.686110973358154,699.0
216,6.717302083969116,691.0
217,6.748510122299194,720.0
218,6.7797300815582275,721.0
219,6.810909986495972,771.0
220,6.842128276824951,753.0
221,6.873335123062134,761.0
222,6.9045751094818115,703.0
223,6.935794353485107,739.0
224,6.967097282409668,720.0
225,6.998208045959473,697.0
226,7.029490947723389,731.0
227,7.0606982707977295,755.0
228,7.091915130615234,745.0
229,7.123148202896118,739.0
230,7.154311180114746,737.0
231,7.185462236404419,723.0
232,7.2166831493377686,705.0
233,7.24802303314209,707.0
234,7.279222011566162,667.0
235,7.310371160507202,681.0
236,7.341573238372803,720.0
237,7.372783184051514,787.0
238,7.4040913581848145,779.0
239,7.435273170471191,736.0
240,7.466449975967407,603.0
241,7.497697114944458,745.0
242,7.528887033462524,752.0
243,7.5601301193237305,755.0
244,7.591294050216675,752.0
245,7.622512340545654,769.0
246,7.653710126876831,857.0
247,7.684911251068115,827.0
248,7.716122150421143,880.0
249,7.747337102890015,769.0
250,7.7785022258758545,737.0
251,7.809781074523926,739.0
252,7.8410539627075195,880.0
253,7.872240304946899,771.0
254,7.903465032577515,721.0
255,7.934649229049683,627.0
256,7.965871095657349,635.0
257,7.997186183929443,755.0
258,8.028288125991821,528.0
259,8.059486150741577,689.0
260,8.090678215026855,467.0
261,8.121888160705566,587.0
262,8.153122186660767,657.0
263,8.184317111968994,848.0
264,8.215502262115479,841.0
265,8.246705293655396,699.0
266,8.27793002128601,683.0
267,8.309197187423706,689.0
268,8.340408086776733,691.0
269,8.371589183807373,699.0
270,8.402843236923218,699.0
271,8.43411111831665,705.0
272,8.465258121490479,703.0
273,8.496482133865356,703.0
274,8.527703046798706,703.0
275,8.558933019638062,705.0
276,8.590136289596558,707.0
277,8.62130618095398,707.0
278,8.652533054351807,705.0
279,8.683786153793335,703.0
280,8.715067148208618,705.0
281,8.74623703956604,703.0
282,8.77748727798462,703.0
283,8.808642148971558,699.0
284,8.839845180511475,699.0
285,8.871157169342041,699.0
286,8.902284145355225,699.0
287,8.933535099029541,699.0
288,8.964728116989136,699.0
289,8.995935201644897,699.0
290,9.027129173278809,699.0
291,9.05834412574768,699.0
292,9.089568138122559,699.0
293,9.120748043060303,699.0
294,9.151965141296387,699.0
295,9.183212041854858,699.0
296,9.21441102027893,699.0
297,9.245605230331421,699.0
298,9.276846170425415,699.0
299,9.308131217956543,699.0
300,9.339195251464844,699.0
301,9.370504140853882,699.0
302,9.401757001876831,699.0
303,9.432911157608032,699.0
304,9.46415901184082,699.0
305,9.49531602859497,699.0
306,9.526539087295532,699.0
307,9.557811975479126,699.0
308,9.58896017074585,699.0
309,9.620167255401611,699.0
310,9.651412010192871,699.0
311,9.682621002197266,699.0
312,9.713844060897827,699.0
313,9.745083332061768,699.0
314,9.7762131690979,699.0
315,9.807470083236694,699.0
316,9.838629245758057,699.0
317,9.869913101196289,699.0
318,9.901134252548218,699.0
319,9.932294368743896,699.0
320,9.963557243347168,699.0
321,9.994777202606201,703.0
322,10.025963068008423,699.0
323,10.0,699.0
